OBJECTID,AREA_CAL,AREA_BMA,PERIMETER,ADMIN_ID,SUBDISTRIC,SUBDISTR_1,DISTRICT_I,DISTRICT_N,CHANGWAT_I,CHANGWAT_N,Shape_Leng,Shape_Area
"138",16.84700000000,16.88600000000,19275.20511550000,"2","104101",???????????,"1041",???????,"10",???????????,19221.73378250000,16846502.26869999990
"139",3.12200000000,2.84600000000,7810.06907083000,"5","102502",??????,"1025",???????,"10",???????????,7796.41737397000,3122136.70954000019
"140",18.94100000000,21.52100000000,26239.00108400000,"3","104801",????????,"1048",????????,"10",???????????,26164.59034360000,18924425.57660000026
"141",81.22300000000,84.71200000000,67060.34943060002,"2","102105",???????,"1021",???????????,"10",???????????,68143.09717009999,81664181.49349999428
"142",16.92900000000,35.82500000000,38950.41000000001,"2","102303",???????????,"1023",???????,"10",???????????,20148.47907220000,16929312.02160000056
"143",1.65000000000,1.49200000000,5878.69185618000,"2","102006",??????????,"1020",??????????,"10",???????????,5865.73765847000,1649760.60110000009
"144",1.21400000000,1.25100000000,11121.00822950000,"7","101901",??????????,"1019",????????,"10",???????????,11148.23667590000,1214370.34583000001
"145",0.92300000000,0.90900000000,5987.60802308000,"7","102210",??????????,"1022",?????????,"10",???????????,5993.08596144000,922575.12377599999
"146",14.64400000000,36.80300000000,26895.25413520000,"1","103605",???????,"1036",????????,"10",???????????,19191.32907790000,14655790.29729999788
"147",11.57500000000,36.80300000000,26895.25413520000,"1","103602",?????,"1036",????????,"10",???????????,15612.85236160000,11574633.44079999998
"148",10.73800000000,36.80300000000,26895.25413520000,"1","103604",????????,"1036",????????,"10",???????????,15582.98043290000,10737897.59549999982
"149",12.96900000000,19.34300000000,34794.95738650000,"7","104002",??????????,"1040",?????,"10",???????????,16640.26126630000,12968514.24410000071
"150",12.07100000000,19.30600000000,36669.41864990000,"8","104004",???????,"1040",?????,"10",???????????,14573.69935400000,12071153.23640000075
"151",6.97800000000,10.96300000000,17111.48864990000,"5","104001",?????,"1040",?????,"10",???????????,11292.14283800000,6978392.51264999900
"152",6.44300000000,11.54500000000,17890.77009720000,"1","102901",???????,"1029",???????,"10",???????????,10098.21490140000,6443461.33794999961
"153",6.48400000000,11.54500000000,17890.77009720000,"1","102902",?????????,"1029",???????,"10",???????????,13207.91262150000,6483533.50920000020
"154",6.83300000000,19.86500000000,19096.03398650000,"1","104504",???????,"1045",??????????,"10",???????????,11805.98997900000,6832630.40034999978
"155",3.60200000000,19.86500000000,19096.03398650000,"1","104503",???????????,"1045",??????????,"10",???????????,8317.12670248000,3601614.46815000009
"156",4.92700000000,19.86500000000,19096.03398650000,"1","104501",??????????,"1045",??????????,"10",???????????,10256.19833310000,4927190.20330999978
"157",1.71800000000,19.86500000000,19096.03398650000,"1","104502",????????,"1045",??????????,"10",???????????,7252.42067140000,1718239.24760999996
"159",12.88300000000,25.98000000000,27208.65060030000,"1","104302",?????????,"1043",????????,"10",???????????,24464.29994090000,12776200.47589999810
"160",12.73900000000,25.98000000000,27208.65060030000,"1","104301",????????,"1043",????????,"10",???????????,17599.82535180000,12738648.29150000215
"161",10.32600000000,24.31100000000,24582.24937510000,"1","102701",????????,"1027",???????,"10",???????????,14414.62961270000,10325592.27339999937
"162",4.75000000000,24.31100000000,24582.24937510000,"1","102704",????????,"1027",???????,"10",???????????,12683.51886950000,4750196.94811999984
"163",3.95600000000,4.36000000000,9442.33055831000,"6","102007",?????????,"1020",??????????,"10",???????????,9402.23609691000,3955804.00518999994
"164",7.27300000000,9.06600000000,14404.44115530000,"2","102402",????????,"1024",???????????,"10",???????????,14382.92407110000,7272636.61689000018
"165",5.27400000000,5.18300000000,13822.58146260000,"5","103504",??????,"1035",??????,"10",???????????,13808.26302460000,5273793.29607000016
"166",1.70800000000,1.28900000000,18921.21000000000,"15","101506",????????,"1015",??????,"10",???????????,6654.63728731000,1711058.22206000006
"167",1.40000000000,1.21000000000,18921.20551950000,"15","101504",??????,"1015",??????,"10",???????????,5047.81770778000,1399645.73096000007
"168",1.03000000000,4.25600000000,29022.10066450000,"27","101503",??????????,"1015",??????,"10",???????????,4785.30206380000,1030320.50164000003
"169",1.43700000000,1.23000000000,18921.21000000000,"15","101507",??????,"1015",??????,"10",???????????,5771.89380923000,1434350.43562999996
"173",8.21700000000,8.61500000000,24582.24937510000,"1","102705",?????????,"1027",????????,"10",???????????,13275.98644420000,8324230.79585999995
"174",9.25700000000,9.59500000000,12016.96479470000,"1","101401",????????,"1014",?????,"10",???????????,9751.45535240000,4573592.14541999996
"175",34.00400000000,34.74500000000,31218.59750650000,"1","105004",???????????,"1050",??????,"10",???????????,11504.90714890000,5237837.19907999970
"176",34.00400000000,34.74500000000,31218.59750650000,"1","105005",??????????,"1050",??????,"10",???????????,12747.58483990000,4994763.08382000029
"177",34.00400000000,34.74500000000,31218.59750650000,"1","105003",???????????,"1050",??????,"10",???????????,13918.82355100000,8753693.25383000076
"178",8.44700000000,8.35400000000,14390.72184310000,"1","102602",??????????,"1026",??????,"10",???????????,10157.80499200000,3949216.34584000008
"179",27.98000000000,28.12400000000,25314.76641440000,"1","104403",???????????,"1044",????????,"10",???????????,16569.55382000000,10932335.26510000043
"180",13.17600000000,13.98600000000,16990.61124920000,"1","100910",??????????,"1009",???????,"10",???????????,8806.14112374000,4765796.74469000008
"181",19.03100000000,18.78900000000,20735.97123390000,"1","104701",??????????,"1047",?????,"10",???????????,16771.39944640000,6525549.08970000036
"182",24.35400000000,23.67800000000,24333.85065770000,"1","103402",???????,"1034",???????,"10",???????????,15696.95969580000,6058656.29466000013
"183",24.35400000000,23.67800000000,24333.85065770000,"1","103401",???????,"1034",???????,"10",???????????,15678.95422710000,9518943.22248999961
"184",27.98000000000,28.12400000000,25314.76641440000,"1","104401",????????,"1044",????????,"10",???????????,11675.12530730000,8089981.34042999893
"189",10.50900000000,11.39600000000,15805.08586790000,"3","104604",??????????,"1046",?????????,"10",???????????,16118.35047410000,11265091.17820000090
"194",20.13100000000,18.64400000000,23238.68763550000,"5","104603",??????,"1046",?????????,"10",???????????,23208.35351110000,20134229.04989999905
"195",24.35400000000,23.67800000000,24333.85065770000,"1","103403",????????,"1034",???????,"10",???????????,13283.08193280000,8776473.31847999990
